"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20170601","목","남","10대","서울특별시","강남구","개포동","치킨","5"
"20170601","목","남","10대","서울특별시","강남구","일원동","치킨","5"
"20170601","목","남","20대","서울특별시","강남구","수서동","치킨","5"
"20170601","목","남","30대","서울특별시","강남구","개포동","치킨","5"
"20170601","목","남","30대","서울특별시","강남구","일원동","치킨","5"
"20170601","목","남","40대","서울특별시","강남구","대치동","치킨","5"
"20170601","목","남","40대","서울특별시","강남구","도곡동","치킨","5"
"20170601","목","남","40대","서울특별시","강남구","역삼동","치킨","24"
"20170601","목","남","40대","서울특별시","강남구","압구정동","치킨","5"
"20170601","목","남","40대","서울특별시","강남구","청담동","치킨","5"
"20170601","목","남","50대","서울특별시","강남구","도곡동","치킨","5"
"20170601","목","남","50대","서울특별시","강남구","삼성동","치킨","18"
"20170601","목","남","30대","서울특별시","강남구","논현동","치킨","20"
"20170601","목","남","50대","서울특별시","강남구","역삼동","치킨","9"
"20170601","목","남","60대이상","서울특별시","강남구","논현동","치킨","5"
"20170601","목","남","30대","서울특별시","강남구","대치동","치킨","5"
"20170601","목","남","30대","서울특별시","강남구","세곡동","치킨","5"
"20170601","목","남","60대이상","서울특별시","강남구","도곡동","치킨","5"
"20170601","목","남","60대이상","서울특별시","강남구","삼성동","치킨","5"
"20170601","목","여","10대","서울특별시","강남구","도곡동","치킨","5"
"20170601","목","남","20대","서울특별시","강남구","도곡동","치킨","5"
"20170601","목","여","20대","서울특별시","강남구","개포동","치킨","5"
"20170601","목","여","20대","서울특별시","강남구","도곡동","치킨","5"
"20170601","목","남","20대","서울특별시","강남구","삼성동","치킨","29"
"20170601","목","여","20대","서울특별시","강남구","일원동","치킨","7"
"20170601","목","남","30대","서울특별시","강남구","역삼동","치킨","35"
"20170601","목","여","30대","서울특별시","강남구","일원동","치킨","6"
"20170601","목","여","30대","서울특별시","강남구","도곡동","치킨","5"
"20170601","목","여","30대","서울특별시","강남구","청담동","치킨","5"
"20170601","목","남","10대","서울특별시","강남구","도곡동","치킨","5"
"20170601","목","남","50대","서울특별시","강남구","대치동","치킨","5"
"20170601","목","여","40대","서울특별시","강남구","개포동","치킨","5"
"20170601","목","여","40대","서울특별시","강남구","대치동","치킨","9"
"20170601","목","여","40대","서울특별시","강남구","삼성동","치킨","72"
"20170601","목","여","30대","서울특별시","강남구","논현동","치킨","16"
"20170601","목","여","20대","서울특별시","강남구","청담동","치킨","5"
"20170601","목","남","20대","서울특별시","강남구","역삼동","치킨","16"
"20170601","목","여","30대","서울특별시","강남구","세곡동","치킨","5"
"20170601","목","여","40대","서울특별시","강남구","수서동","치킨","5"
"20170601","목","여","10대","서울특별시","강남구","논현동","치킨","5"
"20170601","목","여","40대","서울특별시","강남구","도곡동","치킨","8"
"20170601","목","여","30대","서울특별시","강남구","수서동","치킨","8"
"20170601","목","여","40대","서울특별시","강남구","압구정동","치킨","5"
"20170601","목","여","30대","서울특별시","강남구","역삼동","치킨","40"
"20170601","목","여","10대","서울특별시","강남구","역삼동","치킨","5"
"20170601","목","여","40대","서울특별시","강남구","역삼동","치킨","49"
"20170601","목","여","10대","서울특별시","강남구","일원동","치킨","5"
"20170601","목","남","10대","서울특별시","강남구","삼성동","치킨","7"
"20170601","목","남","50대","서울특별시","강남구","일원동","치킨","5"
"20170601","목","여","40대","서울특별시","강남구","일원동","치킨","5"
"20170601","목","여","20대","서울특별시","강남구","대치동","치킨","5"
