"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20170801","화","남","20대","서울특별시","강동구","길동","치킨","36"
"20170801","화","여","40대","서울특별시","강동구","길동","치킨","72"
"20170801","화","남","40대","서울특별시","강동구","길동","치킨","31"
"20170801","화","여","40대","서울특별시","강동구","명일동","치킨","7"
"20170801","화","여","40대","서울특별시","강동구","성내동","치킨","6"
"20170801","화","여","40대","서울특별시","강동구","천호동","치킨","5"
"20170801","화","여","50대","서울특별시","강동구","길동","치킨","21"
"20170801","화","여","50대","서울특별시","강동구","상일동","치킨","5"
"20170801","화","여","20대","서울특별시","강동구","천호동","치킨","5"
"20170801","화","남","10대","서울특별시","강동구","명일동","치킨","5"
"20170801","화","남","30대","서울특별시","강동구","명일동","치킨","6"
"20170801","화","여","50대","서울특별시","강동구","성내동","치킨","5"
"20170801","화","여","60대이상","서울특별시","강동구","길동","치킨","7"
"20170801","화","여","30대","서울특별시","강동구","길동","치킨","52"
"20170801","화","여","60대이상","서울특별시","강동구","성내동","치킨","5"
"20170801","화","남","10대","서울특별시","강북구","번동","치킨","5"
"20170801","화","남","20대","서울특별시","강북구","번동","치킨","13"
"20170801","화","남","20대","서울특별시","강북구","수유동","치킨","5"
"20170801","화","남","40대","서울특별시","강북구","미아동","치킨","54"
"20170801","화","남","40대","서울특별시","강북구","번동","치킨","10"
"20170801","화","남","60대이상","서울특별시","강북구","미아동","치킨","6"
"20170801","화","남","50대","서울특별시","강북구","번동","치킨","5"
"20170801","화","남","60대이상","서울특별시","강북구","번동","치킨","5"
"20170801","화","여","10대","서울특별시","강북구","미아동","치킨","16"
"20170801","화","남","20대","서울특별시","강북구","미아동","치킨","41"
"20170801","화","여","10대","서울특별시","강북구","번동","치킨","6"
"20170801","화","여","10대","서울특별시","강북구","수유동","치킨","5"
"20170801","화","여","20대","서울특별시","강북구","미아동","치킨","40"
"20170801","화","여","20대","서울특별시","강북구","번동","치킨","9"
"20170801","화","여","30대","서울특별시","강북구","미아동","치킨","86"
"20170801","화","여","30대","서울특별시","강북구","번동","치킨","22"
"20170801","화","여","40대","서울특별시","강북구","미아동","치킨","111"
"20170801","화","남","50대","서울특별시","강북구","미아동","치킨","26"
"20170801","화","여","40대","서울특별시","강북구","번동","치킨","22"
"20170801","화","여","50대","서울특별시","강북구","미아동","치킨","38"
"20170801","화","남","30대","서울특별시","강북구","미아동","치킨","85"
"20170801","화","여","60대이상","서울특별시","강북구","미아동","치킨","29"
"20170801","화","여","40대","서울특별시","강북구","수유동","치킨","5"
"20170801","화","여","60대이상","서울특별시","강북구","번동","치킨","8"
"20170801","화","여","50대","서울특별시","강북구","번동","치킨","5"
"20170801","화","남","10대","서울특별시","강북구","미아동","치킨","17"
"20170801","화","남","30대","서울특별시","강북구","번동","치킨","5"
"20170801","화","남","10대","서울특별시","강서구","등촌동","치킨","5"
"20170801","화","남","20대","서울특별시","강서구","등촌동","치킨","13"
"20170801","화","남","30대","서울특별시","강서구","내발산동","치킨","76"
"20170801","화","남","30대","서울특별시","강서구","등촌동","치킨","8"
"20170801","화","남","40대","서울특별시","강서구","방화동","치킨","5"
"20170801","화","남","50대","서울특별시","강서구","등촌동","치킨","5"
"20170801","화","남","10대","서울특별시","강서구","내발산동","치킨","25"
"20170801","화","남","40대","서울특별시","강서구","등촌동","치킨","5"
"20170801","화","남","20대","서울특별시","강서구","방화동","치킨","5"
"20170801","화","남","20대","서울특별시","강서구","마곡동","치킨","5"
"20170801","화","남","20대","서울특별시","강서구","내발산동","치킨","46"
"20170801","화","남","60대이상","서울특별시","강서구","화곡동","치킨","5"
"20170801","화","남","50대","서울특별시","강서구","가양동","치킨","8"
"20170801","화","남","20대","서울특별시","강서구","화곡동","치킨","42"
"20170801","화","여","10대","서울특별시","강서구","공항동","치킨","5"
"20170801","화","여","10대","서울특별시","강서구","과해동","치킨","5"
"20170801","화","여","10대","서울특별시","강서구","내발산동","치킨","19"
"20170801","화","여","10대","서울특별시","강서구","마곡동","치킨","5"
"20170801","화","여","10대","서울특별시","강서구","방화동","치킨","5"
"20170801","화","여","10대","서울특별시","강서구","화곡동","치킨","29"
"20170801","화","남","50대","서울특별시","강서구","화곡동","치킨","22"
"20170801","화","여","20대","서울특별시","강서구","가양동","치킨","15"
"20170801","화","여","20대","서울특별시","강서구","화곡동","치킨","43"
"20170801","화","남","40대","서울특별시","강서구","화곡동","치킨","42"
"20170801","화","여","30대","서울특별시","강서구","가양동","치킨","29"
"20170801","화","남","40대","서울특별시","강서구","마곡동","치킨","5"
"20170801","화","여","30대","서울특별시","강서구","과해동","치킨","5"
"20170801","화","남","30대","서울특별시","강서구","방화동","치킨","5"
"20170801","화","여","30대","서울특별시","강서구","내발산동","치킨","83"
"20170801","화","여","30대","서울특별시","강서구","등촌동","치킨","10"
"20170801","화","남","10대","서울특별시","강서구","화곡동","치킨","35"
"20170801","화","여","30대","서울특별시","강서구","화곡동","치킨","79"
"20170801","화","여","40대","서울특별시","강서구","가양동","치킨","29"
"20170801","화","남","60대이상","서울특별시","강서구","등촌동","치킨","5"
"20170801","화","남","40대","서울특별시","강서구","내발산동","치킨","41"
"20170801","화","여","40대","서울특별시","강서구","공항동","치킨","5"
"20170801","화","남","60대이상","서울특별시","강서구","내발산동","치킨","11"
"20170801","화","남","10대","서울특별시","강서구","가양동","치킨","11"
"20170801","화","여","40대","서울특별시","강서구","내발산동","치킨","121"
"20170801","화","여","40대","서울특별시","강서구","등촌동","치킨","9"
"20170801","화","여","20대","서울특별시","강서구","등촌동","치킨","5"
"20170801","화","여","10대","서울특별시","강서구","가양동","치킨","5"
"20170801","화","여","40대","서울특별시","강서구","마곡동","치킨","6"
"20170801","화","여","20대","서울특별시","강서구","내발산동","치킨","39"
"20170801","화","여","40대","서울특별시","강서구","화곡동","치킨","121"
"20170801","화","남","10대","서울특별시","강서구","방화동","치킨","5"
"20170801","화","여","50대","서울특별시","강서구","가양동","치킨","14"
"20170801","화","남","40대","서울특별시","강서구","가양동","치킨","14"
"20170801","화","여","50대","서울특별시","강서구","등촌동","치킨","5"
"20170801","화","여","50대","서울특별시","강서구","마곡동","치킨","5"
"20170801","화","여","20대","서울특별시","강서구","마곡동","치킨","5"
"20170801","화","남","30대","서울특별시","강서구","화곡동","치킨","67"
"20170801","화","여","50대","서울특별시","강서구","내발산동","치킨","40"
"20170801","화","여","50대","서울특별시","강서구","방화동","치킨","8"
"20170801","화","남","30대","서울특별시","강서구","가양동","치킨","22"
"20170801","화","여","50대","서울특별시","강서구","화곡동","치킨","45"
"20170801","화","남","60대이상","서울특별시","강서구","가양동","치킨","6"
"20170801","화","여","30대","서울특별시","강서구","방화동","치킨","6"
"20170801","화","여","60대이상","서울특별시","강서구","가양동","치킨","6"
"20170801","화","남","20대","서울특별시","강서구","가양동","치킨","9"
"20170801","화","남","50대","서울특별시","강서구","내발산동","치킨","45"
"20170801","화","여","60대이상","서울특별시","강서구","내발산동","치킨","16"
"20170801","화","여","40대","서울특별시","강서구","과해동","치킨","5"
"20170801","화","여","60대이상","서울특별시","강서구","등촌동","치킨","5"
"20170801","화","여","30대","서울특별시","강서구","마곡동","치킨","5"
"20170801","화","남","20대","서울특별시","강서구","과해동","치킨","5"
"20170801","화","여","60대이상","서울특별시","강서구","마곡동","치킨","5"
"20170801","화","여","60대이상","서울특별시","강서구","방화동","치킨","5"
"20170801","화","여","40대","서울특별시","강서구","방화동","치킨","7"
"20170801","화","여","60대이상","서울특별시","강서구","화곡동","치킨","21"
"20170801","화","여","20대","서울특별시","강서구","방화동","치킨","11"
"20170801","화","여","30대","서울특별시","강서구","공항동","치킨","5"
"20170801","화","남","10대","서울특별시","관악구","봉천동","치킨","5"
"20170801","화","남","20대","서울특별시","관악구","봉천동","치킨","5"
"20170801","화","남","20대","서울특별시","관악구","신림동","치킨","133"
"20170801","화","남","30대","서울특별시","관악구","봉천동","치킨","8"
"20170801","화","남","30대","서울특별시","관악구","신림동","치킨","125"
"20170801","화","남","40대","서울특별시","관악구","봉천동","치킨","5"
"20170801","화","남","50대","서울특별시","관악구","봉천동","치킨","5"
"20170801","화","남","50대","서울특별시","관악구","신림동","치킨","32"
"20170801","화","남","60대이상","서울특별시","관악구","신림동","치킨","12"
"20170801","화","여","10대","서울특별시","관악구","봉천동","치킨","5"
"20170801","화","남","40대","서울특별시","관악구","신림동","치킨","98"
"20170801","화","여","10대","서울특별시","관악구","신림동","치킨","23"
"20170801","화","여","20대","서울특별시","관악구","봉천동","치킨","13"
"20170801","화","여","20대","서울특별시","관악구","신림동","치킨","57"
"20170801","화","여","30대","서울특별시","관악구","봉천동","치킨","11"
"20170801","화","남","10대","서울특별시","관악구","신림동","치킨","56"
"20170801","화","여","30대","서울특별시","관악구","신림동","치킨","118"
"20170801","화","여","40대","서울특별시","관악구","봉천동","치킨","10"
"20170801","화","여","40대","서울특별시","관악구","신림동","치킨","147"
