"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20170405","수","남","20대","서울특별시","은평구","구산동","치킨","5"
"20170405","수","여","20대","서울특별시","은평구","역촌동","치킨","5"
"20170405","수","여","20대","서울특별시","종로구","종로6가","치킨","5"
"20170405","수","여","20대","서울특별시","종로구","행촌동","치킨","5"
"20170405","수","여","60대이상","서울특별시","종로구","종로6가","치킨","5"
"20170405","수","여","60대이상","서울특별시","종로구","행촌동","치킨","5"
"20170405","수","여","40대","서울특별시","종로구","와룡동","치킨","5"
"20170405","수","남","30대","서울특별시","종로구","청진동","치킨","5"
"20170405","수","여","50대","서울특별시","종로구","종로6가","치킨","5"
"20170405","수","여","40대","서울특별시","종로구","창성동","치킨","5"
"20170405","수","남","10대","서울특별시","종로구","행촌동","치킨","5"
"20170405","수","여","40대","서울특별시","종로구","숭인동","치킨","5"
"20170405","수","여","40대","서울특별시","종로구","동숭동","치킨","5"
"20170405","수","여","20대","서울특별시","종로구","돈의동","치킨","5"
"20170405","수","여","20대","서울특별시","종로구","종로5가","치킨","5"
"20170405","수","남","40대","서울특별시","종로구","적선동","치킨","5"
"20170405","수","남","30대","서울특별시","종로구","동숭동","치킨","5"
"20170405","수","남","30대","서울특별시","종로구","숭인동","치킨","7"
"20170405","수","남","30대","서울특별시","종로구","경운동","치킨","5"
"20170405","수","남","40대","서울특별시","종로구","서린동","치킨","5"
"20170405","수","여","10대","서울특별시","종로구","행촌동","치킨","5"
"20170405","수","남","40대","서울특별시","종로구","경운동","치킨","5"
"20170405","수","남","30대","서울특별시","종로구","적선동","치킨","5"
"20170405","수","여","40대","서울특별시","종로구","세종로","치킨","5"
"20170405","수","여","30대","서울특별시","종로구","숭인동","치킨","5"
"20170405","수","여","30대","서울특별시","종로구","동숭동","치킨","5"
"20170405","수","남","20대","서울특별시","종로구","종로6가","치킨","5"
"20170405","수","남","20대","서울특별시","종로구","행촌동","치킨","5"
"20170405","수","남","30대","서울특별시","종로구","내수동","치킨","5"
"20170405","수","여","40대","서울특별시","종로구","내수동","치킨","5"
"20170405","수","여","60대이상","서울특별시","종로구","재동","치킨","5"
"20170405","수","남","30대","서울특별시","종로구","평창동","치킨","5"
"20170405","수","여","20대","서울특별시","종로구","계동","치킨","5"
"20170405","수","남","40대","서울특별시","종로구","와룡동","치킨","5"
"20170405","수","여","60대이상","서울특별시","종로구","와룡동","치킨","5"
"20170405","수","여","40대","서울특별시","종로구","종로6가","치킨","5"
"20170405","수","여","40대","서울특별시","종로구","행촌동","치킨","5"
"20170405","수","여","20대","서울특별시","종로구","와룡동","치킨","5"
"20170405","수","남","20대","서울특별시","종로구","내수동","치킨","5"
"20170405","수","남","30대","서울특별시","종로구","행촌동","치킨","5"
"20170405","수","여","30대","서울특별시","종로구","재동","치킨","5"
"20170405","수","여","40대","서울특별시","종로구","종로5가","치킨","5"
"20170405","수","여","20대","서울특별시","종로구","숭인동","치킨","5"
"20170405","수","여","20대","서울특별시","종로구","경운동","치킨","5"
"20170405","수","여","20대","서울특별시","종로구","동숭동","치킨","5"
"20170405","수","여","50대","서울특별시","종로구","숭인동","치킨","5"
"20170405","수","여","50대","서울특별시","종로구","동숭동","치킨","5"
"20170405","수","남","20대","서울특별시","종로구","적선동","치킨","5"
"20170405","수","남","20대","서울특별시","종로구","경운동","치킨","5"
"20170405","수","남","20대","서울특별시","종로구","숭인동","치킨","6"
"20170405","수","여","20대","서울특별시","종로구","서린동","치킨","5"
"20170405","수","남","60대이상","서울특별시","종로구","경운동","치킨","5"
"20170405","수","여","20대","서울특별시","종로구","적선동","치킨","5"
"20170405","수","남","60대이상","서울특별시","종로구","동숭동","치킨","5"
"20170405","수","남","30대","서울특별시","종로구","계동","치킨","5"
"20170405","수","남","40대","서울특별시","종로구","명륜1가","치킨","5"
"20170405","수","남","60대이상","서울특별시","종로구","와룡동","치킨","5"
"20170405","수","여","20대","서울특별시","종로구","평창동","치킨","5"
"20170405","수","여","40대","서울특별시","종로구","재동","치킨","5"
"20170405","수","남","40대","서울특별시","종로구","종로6가","치킨","5"
"20170405","수","남","20대","서울특별시","종로구","와룡동","치킨","5"
"20170405","수","남","30대","서울특별시","종로구","재동","치킨","5"
"20170405","수","여","30대","서울특별시","종로구","행촌동","치킨","5"
"20170405","수","남","30대","서울특별시","중구","수하동","치킨","17"
"20170405","수","남","40대","서울특별시","중구","주교동","치킨","5"
