"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20170301","수","여","40대","서울특별시","강남구","역삼동","치킨","47"
"20170301","수","여","40대","서울특별시","강남구","도곡동","치킨","19"
"20170301","수","여","40대","서울특별시","강남구","일원동","치킨","10"
"20170301","수","여","20대","서울특별시","강남구","수서동","치킨","5"
"20170301","수","남","40대","서울특별시","강남구","개포동","치킨","12"
"20170301","수","남","50대","서울특별시","강남구","세곡동","치킨","5"
"20170301","수","여","10대","서울특별시","강남구","대치동","치킨","5"
"20170301","수","남","30대","서울특별시","강남구","도곡동","치킨","11"
"20170301","수","남","30대","서울특별시","강남구","일원동","치킨","9"
"20170301","수","남","30대","서울특별시","강남구","역삼동","치킨","69"
"20170301","수","여","30대","서울특별시","강남구","개포동","치킨","30"
"20170301","수","여","50대","서울특별시","강남구","수서동","치킨","5"
"20170301","수","남","60대이상","서울특별시","강남구","대치동","치킨","5"
"20170301","수","남","40대","서울특별시","강남구","삼성동","치킨","38"
"20170301","수","남","40대","서울특별시","강남구","신사동","치킨","5"
"20170301","수","여","40대","서울특별시","강남구","논현동","치킨","33"
"20170301","수","남","20대","서울특별시","강남구","대치동","치킨","9"
"20170301","수","여","30대","서울특별시","강남구","삼성동","치킨","46"
"20170301","수","여","30대","서울특별시","강남구","신사동","치킨","5"
"20170301","수","남","30대","서울특별시","강남구","논현동","치킨","25"
"20170301","수","여","60대이상","서울특별시","강남구","대치동","치킨","5"
"20170301","수","여","10대","서울특별시","강남구","수서동","치킨","5"
"20170301","수","여","40대","서울특별시","강남구","삼성동","치킨","92"
"20170301","수","여","40대","서울특별시","강남구","신사동","치킨","5"
"20170301","수","여","50대","서울특별시","강남구","대치동","치킨","5"
"20170301","수","남","40대","서울특별시","강남구","논현동","치킨","17"
"20170301","수","여","20대","서울특별시","강남구","대치동","치킨","6"
"20170301","수","남","30대","서울특별시","강남구","삼성동","치킨","58"
"20170301","수","남","30대","서울특별시","강남구","신사동","치킨","5"
"20170301","수","여","30대","서울특별시","강남구","논현동","치킨","26"
"20170301","수","남","40대","서울특별시","강남구","도곡동","치킨","5"
"20170301","수","남","40대","서울특별시","강남구","일원동","치킨","5"
"20170301","수","남","40대","서울특별시","강남구","역삼동","치킨","31"
"20170301","수","여","40대","서울특별시","강남구","개포동","치킨","41"
"20170301","수","여","50대","서울특별시","강남구","세곡동","치킨","5"
"20170301","수","여","30대","서울특별시","강남구","도곡동","치킨","7"
"20170301","수","여","30대","서울특별시","강남구","일원동","치킨","5"
"20170301","수","남","10대","서울특별시","강남구","대치동","치킨","6"
"20170301","수","남","60대이상","서울특별시","강남구","수서동","치킨","5"
"20170301","수","여","30대","서울특별시","강남구","역삼동","치킨","62"
"20170301","수","남","50대","서울특별시","강남구","수서동","치킨","5"
"20170301","수","남","30대","서울특별시","강남구","개포동","치킨","18"
"20170301","수","남","10대","서울특별시","강남구","논현동","치킨","5"
"20170301","수","남","20대","서울특별시","강남구","개포동","치킨","12"
"20170301","수","여","10대","서울특별시","강남구","삼성동","치킨","5"
"20170301","수","여","20대","서울특별시","강남구","일원동","치킨","5"
"20170301","수","여","40대","서울특별시","강남구","수서동","치킨","5"
"20170301","수","여","30대","서울특별시","강남구","세곡동","치킨","5"
"20170301","수","여","20대","서울특별시","강남구","역삼동","치킨","29"
